Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Spectral volume rendering using GPU-based raycasting","The Visual Computer","","22","8","10.1007/s00371-006-0028-0","Magnus StrengertThomas KleinRalf BotchenSimon StegmaierMin ChenThomas Ertl","2006","http://link.springer.com/article/10.1007/s00371-006-0028-0","Article"
"Triangular mesh simplification on the GPU","The Visual Computer","","31","2","10.1007/s00371-014-1039-x","Alexandros PapageorgiouNikos Platis","2015","http://link.springer.com/article/10.1007/s00371-014-1039-x","Article"
"Implementation of a parallel ADI algorithm on a finite volume GPU-based elementary porous media flow computation","Journal of the Brazilian Society of Mechanical Sciences and Engineering","","39","10","10.1007/s40430-017-0882-x","L. Henríquez-VargasE. VillaroelJ. GutierrezP. Donoso-García","2017","http://link.springer.com/article/10.1007/s40430-017-0882-x","Article"
"An efficient GPU-based fractional-step domain decomposition scheme for the reaction–diffusion equation","Computational and Applied Mathematics","","39","4","10.1007/s40314-020-01357-7","Ali FoadaddiniSeyed Alireza ZolfaghariHossein Mahmoodi DarianHamid Saadatfar","2020","http://link.springer.com/article/10.1007/s40314-020-01357-7","Article"
"Appliance of effective clustering technique for gene expression datasets using GPU","Cluster Computing","","22","5","10.1007/s10586-017-1621-x","V. SaveethaS. SophiaP. D. R. Vijayakumar","2019","http://link.springer.com/article/10.1007/s10586-017-1621-x","Article"
"The performances of iterative type-2 fuzzy C-mean on GPU for image segmentation","The Journal of Supercomputing","","","","10.1007/s11227-021-03928-9","Noureddine Ait AliAhmed El abbassiBouchaib Cherradi","2021","http://link.springer.com/article/10.1007/s11227-021-03928-9","Article"
"Collective behavior of large-scale neural networks with GPU acceleration","Cognitive Neurodynamics","","11","6","10.1007/s11571-017-9446-0","Jingyi QuRubin Wang","2017","http://link.springer.com/article/10.1007/s11571-017-9446-0","Article"
"Design Flow for GPU and Multicore Execution of Dynamic Dataflow Programs","Journal of Signal Processing Systems","","89","3","10.1007/s11265-017-1260-8","J. BoutellierT. Nyländen","2017","http://link.springer.com/article/10.1007/s11265-017-1260-8","Article"
"GPU material point method (MPM) and its application on slope stability analysis","Bulletin of Engineering Geology and the Environment","","80","7","10.1007/s10064-021-02265-8","Ze-Kang FengWen-Jie Xu","2021","http://link.springer.com/article/10.1007/s10064-021-02265-8","Article"
"GSA: a GPU-accelerated structure similarity algorithm and its application in progressive virtual screening","Molecular Diversity","","16","4","10.1007/s11030-012-9403-0","Xin YanQiong GuFeng LuJiabo LiJun Xu","2012","http://link.springer.com/article/10.1007/s11030-012-9403-0","Article"
"Efficient GPU and CPU-based LDPC decoders for long codewords","Analog Integrated Circuits and Signal Processing","","73","2","10.1007/s10470-012-9895-7","Stefan GrönroosKristian NybomJerker Björkqvist","2012","http://link.springer.com/article/10.1007/s10470-012-9895-7","Article"
"Genetic improvement of GPU software","Genetic Programming and Evolvable Machines","","18","1","10.1007/s10710-016-9273-9","William B. LangdonBrian Yee Hong LamMarc ModatJustyna PetkeMark Harman","2017","http://link.springer.com/article/10.1007/s10710-016-9273-9","Article"
"Motion vector extrapolation for parallel motion estimation on GPU","Multimedia Tools and Applications","","68","3","10.1007/s11042-012-1074-4","Yi GaoJun Zhou","2014","http://link.springer.com/article/10.1007/s11042-012-1074-4","Article"
"Optimizing Image Reconstruction in SENSE Using GPU","Applied Magnetic Resonance","","49","2","10.1007/s00723-017-0951-4","Sohaib A. QaziSaima NasirAbeera SaeedHammad Omer","2018","http://link.springer.com/article/10.1007/s00723-017-0951-4","Article"
"A GPU-based elastic shape registration approach in implicit spaces","Journal of Real-Time Image Processing","","16","6","10.1007/s11554-017-0710-7","Ahmed Hassan YousefHossam E. Abd El Munim","2019","http://link.springer.com/article/10.1007/s11554-017-0710-7","Article"
"A self-organization based optical flow estimator with GPU implementation","Machine Vision and Applications","","23","6","10.1007/s00138-011-0352-x","Manish P. ShiralkarRobert J. Schalkoff","2012","http://link.springer.com/article/10.1007/s00138-011-0352-x","Article"
"A GPU implementation of secret sharing scheme based on cellular automata","The Journal of Supercomputing","","72","4","10.1007/s11227-016-1646-6","Rogelio Adrian Hernandez-BecerrilAriana Guadalupe Bucio-RamirezMariko Nakano-MiyatakeHector Perez-MeanaMarco Pedro Ramirez-Tachiquin","2016","http://link.springer.com/article/10.1007/s11227-016-1646-6","Article"
"Cooperative CPU, GPU, and FPGA heterogeneous execution with EngineCL","The Journal of Supercomputing","","75","3","10.1007/s11227-019-02768-y","María Angélica Dávila GuzmánRaúl NozalRubén Gran TejeroMaría Villarroya-GaudóDarío Suárez GraciaJose Luis Bosque","2019","http://link.springer.com/article/10.1007/s11227-019-02768-y","Article"
"Parallel edge-based visual assessment of cluster tendency on GPU","International Journal of Data Science and Analytics","","6","4","10.1007/s41060-018-0100-7","Tao MengBo Yuan","2018","http://link.springer.com/article/10.1007/s41060-018-0100-7","Article"
"Knowledge based fuzzy c-means method for rapid brain tissues segmentation of magnetic resonance imaging scans with CUDA enabled GPU machine","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-02132-6","Prajoona ValsalanP. SriramakrishnanS. SridharG. Charlyn Pushpa LathaA. PriyaS. RamkumarA. Robert SinghT. Rajendran","2020","http://link.springer.com/article/10.1007/s12652-020-02132-6","Article"
"Forward and back substitution algorithms on GPU: a case study on modified incomplete Cholesky Preconditioner for three-dimensional finite difference method","The Journal of Supercomputing","","62","1","10.1007/s11227-011-0736-8","Yigitcan AksariHarun Artuner","2012","http://link.springer.com/article/10.1007/s11227-011-0736-8","Article"
"Fast differential box-counting algorithm on GPU","The Journal of Supercomputing","","76","1","10.1007/s11227-019-03030-1","Juan Ruiz de Miras","2020","http://link.springer.com/article/10.1007/s11227-019-03030-1","Article"
"Computational Approach for Securing Radiology-Diagnostic Data in Connected Health Network using High-Performance GPU-Accelerated AES","Interdisciplinary Sciences: Computational Life Sciences","","9","1","10.1007/s12539-015-0140-9","A. M. AdeshinaR. Hashim","2017","http://link.springer.com/article/10.1007/s12539-015-0140-9","Article"
"Combined kernel for fast GPU computation of Zernike moments","Journal of Real-Time Image Processing","","18","3","10.1007/s11554-020-00979-8","Zengjun ZhaoXinkai KuangYukuan ZhuYecheng LiangYubo Xuan","2021","http://link.springer.com/article/10.1007/s11554-020-00979-8","Article"
"A novel CT image segmentation algorithm using PCNN and Sobolev gradient methods in GPU frameworks","Pattern Analysis and Applications","","23","2","10.1007/s10044-019-00837-9","Biswajit BiswasSwarup Kr. GhoshAnupam Ghosh","2020","http://link.springer.com/article/10.1007/s10044-019-00837-9","Article"
"Massively parallel palmprint identification system using GPU","Cluster Computing","","22","3","10.1007/s10586-017-1121-z","Syed Ali TariqShahzaib IqbalMubeen GhafoorImtiaz A. TajNoman M. JafriSaad RazzaqTehseen Zia","2019","http://link.springer.com/article/10.1007/s10586-017-1121-z","Article"
"GPU Supported Simulation of Transition-Edge Sensor Arrays","Journal of Low Temperature Physics","","200","5 - 6","10.1007/s10909-020-02450-1","M. LorenzC. KirschP. E. Merino-AlonsoP. PeilleT. DauserE. CucchettiS. J. SmithJ. Wilms","2020","http://link.springer.com/article/10.1007/s10909-020-02450-1","Article"
"Effective naive Bayes nearest neighbor based image classification on GPU","The Journal of Supercomputing","","68","2","10.1007/s11227-013-1068-7","Lei ZhuHai JinRan ZhengXiaowen Feng","2014","http://link.springer.com/article/10.1007/s11227-013-1068-7","Article"
"GPU-Based Blind Watermarking Scheme for 3D Multiresolution Meshes Using Unlifted Butterfly Wavelet Transformation","Circuits, Systems, and Signal Processing","","39","3","10.1007/s00034-019-01220-z","Soumaya HachichaIkbel SayahiAkram ElkefiChokri Ben AmarMourad Zaied","2020","http://link.springer.com/article/10.1007/s00034-019-01220-z","Article"
"Efficient extraction of clustering-based feature signatures using GPU architectures","Multimedia Tools and Applications","","75","13","10.1007/s11042-015-2726-y","Martin KrulišJakub LokočTomáš Skopal","2016","http://link.springer.com/article/10.1007/s11042-015-2726-y","Article"
"Direct private query in location-based services with GPU run time analysis","The Journal of Supercomputing","","71","2","10.1007/s11227-014-1309-4","Charles AsanyaRatan Guha","2015","http://link.springer.com/article/10.1007/s11227-014-1309-4","Article"
"An optimized hybrid remote display protocol using GPU-assisted M-JPEG encoding and novel high-motion detection algorithm","The Journal of Supercomputing","","66","3","10.1007/s11227-013-0972-1","Biao SongWei TangTien-Dung NguyenMohammad Mehedi HassanEui Nam Huh","2013","http://link.springer.com/article/10.1007/s11227-013-0972-1","Article"
"Acceleration techniques and evaluation on multi-core CPU, GPU and FPGA for image processing and super-resolution","Journal of Real-Time Image Processing","","16","4","10.1007/s11554-016-0619-6","Georgios GeorgisGeorge LentarisDionysios Reisis","2019","http://link.springer.com/article/10.1007/s11554-016-0619-6","Article"
"Enhancing GPU parallelism in nature-inspired algorithms","The Journal of Supercomputing","","63","3","10.1007/s11227-012-0770-1","José M. CeciliaAndy NisbetMartyn AmosJosé M. GarcíaManuel Ujaldón","2013","http://link.springer.com/article/10.1007/s11227-012-0770-1","Article"
"Efficient GPU algorithms for parallel decomposition of graphs into strongly connected and maximal end components","Formal Methods in System Design","","48","3","10.1007/s10703-016-0246-7","Anton WijsJoost-Pieter KatoenDragan Bošnački","2016","http://link.springer.com/article/10.1007/s10703-016-0246-7","Article"
"Exploring the parallel capabilities of GPU: Berlekamp-Massey algorithm case study","Cluster Computing","","23","2","10.1007/s10586-019-02961-x","Hanan AliGhada M. FathyZeinab FayezWalaa Sheta","2020","http://link.springer.com/article/10.1007/s10586-019-02961-x","Article"
"Forecasting large scale conditional volatility and covariance using neural network on GPU","The Journal of Supercomputing","","63","2","10.1007/s11227-012-0827-1","Xianggao CaiGuoming LaiXiaola Lin","2013","http://link.springer.com/article/10.1007/s11227-012-0827-1","Article"
"Nearest Neighbor Searches on the GPU","International Journal of Parallel Programming","","40","3","10.1007/s10766-011-0184-3","Pedro LeiteJoão Marcelo TeixeiraThiago FariasBernardo ReisVeronica TeichriebJudith Kelner","2012","http://link.springer.com/article/10.1007/s10766-011-0184-3","Article"
"gEMpicker: a highly parallel GPU-accelerated particle picking tool for cryo-electron microscopy","BMC Structural Biology","","13","1","10.1186/1472-6807-13-25","Thai V HoangXavier CavinPatrick SchultzDavid W Ritchie","2013","http://link.springer.com/article/10.1186/1472-6807-13-25","Article"
"MSKD: multi-split KD-tree design on GPU","Multimedia Tools and Applications","","75","2","10.1007/s11042-014-2371-x","Xin YangBing YangPengjie WangDuanqing Xu","2016","http://link.springer.com/article/10.1007/s11042-014-2371-x","Article"
"A modular lattice boltzmann solver for GPU computing processors","SeMA Journal","","59","1","10.1007/BF03322610","M. AstorinoJ. Becerra SagredoA. Quarteroni","2012","http://link.springer.com/article/10.1007/BF03322610","Article"
"Efficient electro-magnetic analysis of a GPU bitsliced AES implementation","Cybersecurity","","3","1","10.1186/s42400-020-0045-8","Yiwen GaoYongbin ZhouWei Cheng","2020","http://link.springer.com/article/10.1186/s42400-020-0045-8","Article"
"A CPU-GPU-based parallel search algorithm for the best differential characteristics of block ciphers","The Journal of Supercomputing","","77","10","10.1007/s11227-021-03703-w","Pei LiShihao ZhouJiageng Chen","2021","http://link.springer.com/article/10.1007/s11227-021-03703-w","Article"
"A GPU implementation of an iterative receiver for energy saving MIMO ID-BICM systems","The Journal of Supercomputing","","70","2","10.1007/s11227-013-1081-x","Carla RamiroM. Ángeles SimarroF. J. Martínez-ZaldívarAntonio M. VidalAlberto González","2014","http://link.springer.com/article/10.1007/s11227-013-1081-x","Article"
"GPU-Based FFT Computation for Multi-Gigabit WirelessHD Baseband Processing","EURASIP Journal on Wireless Communications and Networking","","2010","1","10.1155/2010/359081","Nicholas HinittTaskin Kocak","2010","http://link.springer.com/article/10.1155/2010/359081","Article"
"Comparing GPU-based multi-volume ray casting techniques","Computer Science - Research and Development","","26","1 - 2","10.1007/s00450-010-0141-1","Nicole SchubertIngrid Scholl","2011","http://link.springer.com/article/10.1007/s00450-010-0141-1","Article"
"Accelerating number theoretic transform in GPU platform for fully homomorphic encryption","The Journal of Supercomputing","","77","2","10.1007/s11227-020-03156-7","Jia-Zheng GoeyWai-Kong LeeBok-Min GoiWun-She Yap","2021","http://link.springer.com/article/10.1007/s11227-020-03156-7","Article"
"GPU implementation of the 2D shallow water equations for the simulation of rainfall/runoff events","Environmental Earth Sciences","","74","11","10.1007/s12665-015-4215-z","Asier LacastaMario Morales-HernándezJavier MurilloPilar García-Navarro","2015","http://link.springer.com/article/10.1007/s12665-015-4215-z","Article"
"Almost optimal column-wise prefix-sum computation on the GPU","The Journal of Supercomputing","","74","4","10.1007/s11227-018-2242-8","Hiroki TokuraToru FujitaKoji NakanoYasuaki ItoJacir L. Bordim","2018","http://link.springer.com/article/10.1007/s11227-018-2242-8","Article"
"GPU-acceleration of waveform relaxation methods for large differential systems","Numerical Algorithms","","71","2","10.1007/s11075-015-9993-6","Dajana ConteRaffaele D’AmbrosioBeatrice Paternoster","2016","http://link.springer.com/article/10.1007/s11075-015-9993-6","Article"
"A non-sequential refinement approach to improve word embeddings using GPU-based string matching algorithms","Cluster Computing","","24","4","10.1007/s10586-021-03321-4","Behzad NaderalvojoudAdnan Ozsoy","2021","http://link.springer.com/article/10.1007/s10586-021-03321-4","Article"
"Caffe CNN-based classification of hyperspectral images on GPU","The Journal of Supercomputing","","75","3","10.1007/s11227-018-2300-2","Alberto S. GareaDora B. HerasFrancisco Argüello","2019","http://link.springer.com/article/10.1007/s11227-018-2300-2","Article"
"SPH-DEM coupling method based on GPU and its application to the landslide tsunami. Part I: method and validation","Acta Geotechnica","","","","10.1007/s11440-021-01388-2","Qian ZhouWen-Jie XuXue-Yang Dong","2021","http://link.springer.com/article/10.1007/s11440-021-01388-2","Article"
"Inertia based filtering of high resolution images using a GPU cluster","Computing and Visualization in Science","","14","4","10.1007/s00791-012-0171-2","Daniel JungblutGillian QueisserGabriel Wittum","2011","http://link.springer.com/article/10.1007/s00791-012-0171-2","Article"
"Rapid Automated Classification of Anesthetic Depth Levels using GPU Based Parallelization of Neural Networks","Journal of Medical Systems","","39","2","10.1007/s10916-015-0197-3","Musa PekerBaha ŞenHüseyin Gürüler","2015","http://link.springer.com/article/10.1007/s10916-015-0197-3","Article"
"GPU-parallel interpolation using the edge-direction based normal vector method for terrain triangular mesh","Journal of Real-Time Image Processing","","14","4","10.1007/s11554-016-0575-1","Jiaji WuLong DengGwanggil JeonJechang Jeong","2018","http://link.springer.com/article/10.1007/s11554-016-0575-1","Article"
"GPU-based RFA simulation for minimally invasive cancer treatment of liver tumours","International Journal of Computer Assisted Radiology and Surgery","","12","1","10.1007/s11548-016-1469-1","Panchatcharam MariappanPhil WeirRonan FlanaganPhilip VoglreiterTuomas AlhonnoroMika PollariMichael MocheHarald BusseJurgen FuttererHorst Rupert PortugallerRoberto Blanco SequeirosMarina Kolesnik","2017","http://link.springer.com/article/10.1007/s11548-016-1469-1","Article"
"Implementation and performance analysis of DVB-T2 rotated constellation demappers on a GPU","Analog Integrated Circuits and Signal Processing","","78","3","10.1007/s10470-013-0101-3","Stefan GrönroosKristian NybomJerker Björkqvist","2014","http://link.springer.com/article/10.1007/s10470-013-0101-3","Article"
"Parallel ILU preconditioners in GPU computation","Soft Computing","","22","24","10.1007/s00500-017-2764-7","Yan ChenXuhong TianHui LiuZhangxin ChenBo YangWenyuan LiaoPeng ZhangRuijian HeMin Yang","2018","http://link.springer.com/article/10.1007/s00500-017-2764-7","Article"
"Liutex-based analysis of drag force and vortex in two-phase flow past 2-D square obstacle using LBM on GPU","Journal of Hydrodynamics","","32","5","10.1007/s42241-020-0058-5","Peng-xin ChengNan GuiXing-tuan YangJi-yuan TuSheng-yao JiangHai-jun Jia","2020","http://link.springer.com/article/10.1007/s42241-020-0058-5","Article"
"Reinforcement learning-based spatial sorting based dynamic task allocation on networked multicore GPU processors","Journal of Ambient Intelligence and Humanized Computing","","12","10","10.1007/s12652-020-02716-2","K. RameshA. Thilagavathy","2021","http://link.springer.com/article/10.1007/s12652-020-02716-2","Article"
"On GPU–CUDA as preprocessing of fuzzy-rough data reduction by means of singular value decomposition","Soft Computing","","22","5","10.1007/s00500-017-2887-x","Salvatore CuomoArdelio GallettiLivia MarcellinoGuglielmo NavarraGerardo Toraldo","2018","http://link.springer.com/article/10.1007/s00500-017-2887-x","Article"
"Parallel Digital Predistortion Design on Mobile GPU and Embedded Multicore CPU for Mobile Transmitters","Journal of Signal Processing Systems","","89","3","10.1007/s11265-017-1233-y","Kaipeng LiAmanullah GhaziChance TarverJani BoutellierMahmoud AbdelazizLauri AnttilaMarkku JunttiMikko ValkamaJoseph R. Cavallaro","2017","http://link.springer.com/article/10.1007/s11265-017-1233-y","Article"
"MilkyWay-2 supercomputer: system and application","Frontiers of Computer Science","","8","3","10.1007/s11704-014-3501-3","Xiangke LiaoLiquan XiaoCanqun YangYutong Lu","2014","http://link.springer.com/article/10.1007/s11704-014-3501-3","Article"
"A vision of post-exascale programming","Frontiers of Information Technology & Electronic Engineering","","19","10","10.1631/FITEE.1800442","Ji-Dong ZhaiWen-Guang Chen","2018","http://link.springer.com/article/10.1631/FITEE.1800442","Article"
"GPU-aware resource management in heterogeneous cloud data centers","The Journal of Supercomputing","","77","11","10.1007/s11227-021-03779-4","Ashwin Kumar KulkarniB. Annappa","2021","http://link.springer.com/article/10.1007/s11227-021-03779-4","Article"
"STEEL-RT: combining single task–single executor model and expanded scheduling to ease heterogeneity exploitation","The Journal of Supercomputing","","76","6","10.1007/s11227-019-02955-x","Antón ReyFrancisco D. IgualManuel Prieto-Matías","2020","http://link.springer.com/article/10.1007/s11227-019-02955-x","Article"
"NoT: a high-level no-threading parallel programming method for heterogeneous systems","The Journal of Supercomputing","","75","7","10.1007/s11227-019-02749-1","Shusen WuXiaoshe DongXingjun ZhangZhengdong Zhu","2019","http://link.springer.com/article/10.1007/s11227-019-02749-1","Article"
"Parallel computing of 3D smoking simulation based on OpenCL heterogeneous platform","The Journal of Supercomputing","","61","1","10.1007/s11227-011-0652-y","Zhiyong YuanWeixin SiXiangyun LiaoZhaoliang DuanYihua DingJianhui Zhao","2012","http://link.springer.com/article/10.1007/s11227-011-0652-y","Article"
"A novel parallel image encryption algorithm based on hybrid chaotic maps with OpenCL implementation","Soft Computing","","24","16","10.1007/s00500-020-04683-4","Lin YouErsong YangGuangyi Wang","2020","http://link.springer.com/article/10.1007/s00500-020-04683-4","Article"
"Hybrid of genetic algorithm and local search to solve MAX-SAT problem using nVidia CUDA framework","Genetic Programming and Evolvable Machines","","10","4","10.1007/s10710-009-9091-4","Asim MunawarMohamed WahibMasaharu MunetomoKiyoshi Akama","2009","http://link.springer.com/article/10.1007/s10710-009-9091-4","Article"
"DLPlib: A Library for Deep Learning Processor","Journal of Computer Science and Technology","","32","2","10.1007/s11390-017-1722-2","Hui-Ying LanLin-Yang WuXiao ZhangJin-Hua TaoXun-Yu ChenBing-Rui WangYu-Qing WangQi GuoYun-Ji Chen","2017","http://link.springer.com/article/10.1007/s11390-017-1722-2","Article"
"Four styles of parallel and net programming","Frontiers of Computer Science in China","","3","3","10.1007/s11704-009-0028-0","Zhiwei XuYongqiang HeWei LinLi Zha","2009","http://link.springer.com/article/10.1007/s11704-009-0028-0","Article"
"Comparison of OpenCL and RenderScript for mobile devices","Multimedia Tools and Applications","","75","22","10.1007/s11042-016-3244-2","SeongKi KimSeok-Kyoo Kim","2016","http://link.springer.com/article/10.1007/s11042-016-3244-2","Article"
"Towards Parallelism Extraction for Heterogeneous Multicore Android Devices","International Journal of Parallel Programming","","45","6","10.1007/s10766-016-0479-5","Miguel Angel AguilarJuan Fernando EusseProjjol RayRainer LeupersGerd AscheidWeihua ShengPrashant Sharma","2017","http://link.springer.com/article/10.1007/s10766-016-0479-5","Article"
"THUBrachy: fast Monte Carlo dose calculation tool accelerated by heterogeneous hardware for high-dose-rate brachytherapy","Nuclear Science and Techniques","","32","3","10.1007/s41365-021-00866-2","An-Kang HuRui QiuHuan LiuZhen WuChun-Yan LiHui ZhangJun-Li LiRui-Jie Yang","2021","http://link.springer.com/article/10.1007/s41365-021-00866-2","Article"
"High-Throughput parallel blind Virtual Screening using BINDSURF","BMC Bioinformatics","","13","14","10.1186/1471-2105-13-S14-S13","Irene Sánchez-LinaresHoracio Pérez-SánchezJosé M CeciliaJosé M García","2012","http://link.springer.com/article/10.1186/1471-2105-13-S14-S13","Article"
"Multi-relaxation-time lattice Boltzmann simulations of lid driven flows using graphics processing unit","Applied Mathematics and Mechanics","","38","5","10.1007/s10483-017-2194-9","Chenggong LiJ. P. Y. Maa","2017","http://link.springer.com/article/10.1007/s10483-017-2194-9","Article"
"High performance evaluation of evolutionary-mined association rules on GPUs","The Journal of Supercomputing","","66","3","10.1007/s11227-013-0937-4","Alberto CanoJosé María LunaSebastián Ventura","2013","http://link.springer.com/article/10.1007/s11227-013-0937-4","Article"
"GPUSVM: a comprehensive CUDA based support vector machine package","Central European Journal of Computer Science","","1","4","10.2478/s13537-011-0028-7","Qi LiRaied SalmanErik TestRobert StrackVojislav Kecman","2011","http://link.springer.com/article/10.2478/s13537-011-0028-7","Article"
"An MPI+
                
                  
                
                $$X$$
                
                  
                    X
                  
                
               implementation of contact global search using Kokkos","Engineering with Computers","","32","2","10.1007/s00366-015-0418-x","Glen A. HansenPatrick G. XavierSam P. MishThomas E. VothMartin W. HeinsteinMicheal W. Glass","2016","http://link.springer.com/article/10.1007/s00366-015-0418-x","Article"
"A new parallel particle filter face tracking method based on heterogeneous system","Journal of Real-Time Image Processing","","7","3","10.1007/s11554-011-0225-6","Ke-Yan LiuYun-Hua LiShanqing LiLiang TangLei Wang","2012","http://link.springer.com/article/10.1007/s11554-011-0225-6","Article"
"Programming GPGPU Graph Applications with Linear Algebra Building Blocks","International Journal of Parallel Programming","","45","3","10.1007/s10766-016-0448-z","Shuai CheBradford M. BeckmannSteven K. Reinhardt","2017","http://link.springer.com/article/10.1007/s10766-016-0448-z","Article"
"Design and evaluation of medical ultrasonic adaptive beamforming algorithm implementation on heterogeneous embedded computing platform","EURASIP Journal on Embedded Systems","","2017","1","10.1186/s13639-017-0069-7","Junying ChenJinhui ChenHuaqing Min","2017","http://link.springer.com/article/10.1186/s13639-017-0069-7","Article"
"Energy cost evaluation of parallel algorithms for multiprocessor systems","Cluster Computing","","16","1","10.1007/s10586-011-0188-1","Zhuowei WangXianbin XuNaixue XiongLaurence T. YangWuqing Zhao","2013","http://link.springer.com/article/10.1007/s10586-011-0188-1","Article"
"High-performance biocomputing for simulating the spread of contagion over large contact networks","BMC Genomics","","13","2","10.1186/1471-2164-13-S2-S3","Keith R BissetAshwin M AjiMadhav V MaratheWu-chun Feng","2012","http://link.springer.com/article/10.1186/1471-2164-13-S2-S3","Article"
"SDAM: a combined stack distance-analytical modeling approach to estimate memory performance in GPUs","The Journal of Supercomputing","","77","5","10.1007/s11227-020-03483-9","Mohsen KianiAmir Rajabzadeh","2021","http://link.springer.com/article/10.1007/s11227-020-03483-9","Article"
"An efficient parallelization technique for x264 encoder on heterogeneous platforms consisting of CPUs and GPUs","Journal of Real-Time Image Processing","","9","1","10.1007/s11554-012-0317-y","Youngsub KoYoungmin YiSoonhoi Ha","2014","http://link.springer.com/article/10.1007/s11554-012-0317-y","Article"
"Paradigmatic shifts for exascale supercomputing","The Journal of Supercomputing","","62","2","10.1007/s11227-012-0789-3","Neal E. DavisRobert W. RobeyCharles R. FerenbaughDavid NicholaeffDennis P. Trujillo","2012","http://link.springer.com/article/10.1007/s11227-012-0789-3","Article"
"GPU implementation of a road sign detector based on particle swarm optimization","Evolutionary Intelligence","","3","3 - 4","10.1007/s12065-010-0043-y","Luca MussiStefano CagnoniElena CardarelliFabio DaolioPaolo MediciPier Paolo Porta","2010","http://link.springer.com/article/10.1007/s12065-010-0043-y","Article"
"A new MapReduce associative classifier based on a new storage format for large-scale imbalanced data","Cluster Computing","","21","4","10.1007/s10586-018-2812-9","Mehrdad AlmasiMohammad Saniee Abadeh","2018","http://link.springer.com/article/10.1007/s10586-018-2812-9","Article"
"A run-time optimization approach for reducing data movements using locality-aware searching","The Journal of Supercomputing","","69","2","10.1007/s11227-014-1186-x","Liang LiEndong WangXingjun ZhangKang YanTao JuXiaoshe Dong","2014","http://link.springer.com/article/10.1007/s11227-014-1186-x","Article"
"A Resource Selection System for Cycle Stealing in GPU Grids","Journal of Grid Computing","","6","4","10.1007/s10723-008-9099-7","Y. KotaniF. InoK. Hagihara","2008","http://link.springer.com/article/10.1007/s10723-008-9099-7","Article"
"Simultaneous CPU–GPU Execution of Data Parallel Algorithmic Skeletons","International Journal of Parallel Programming","","46","1","10.1007/s10766-016-0483-9","Fabian WredeSteffen Ernsting","2018","http://link.springer.com/article/10.1007/s10766-016-0483-9","Article"
"Real-time anomaly detection in hyperspectral images using multivariate normal mixture models and GPU processing","Journal of Real-Time Image Processing","","4","3","10.1007/s11554-008-0105-x","Yuliya TarabalkaTrym Vegard HaavardsholmIngebjørg KåsenTorbjørn Skauli","2009","http://link.springer.com/article/10.1007/s11554-008-0105-x","Article"
"An Infrastructure for Tackling Input-Sensitivity of GPU Program Optimizations","International Journal of Parallel Programming","","41","6","10.1007/s10766-012-0236-3","Xipeng ShenYixun LiuEddy Z. ZhangPoornima Bhamidipati","2013","http://link.springer.com/article/10.1007/s10766-012-0236-3","Article"
"Tracing and Profiling Machine Learning Dataflow Applications on GPU","International Journal of Parallel Programming","","47","5 - 6","10.1007/s10766-019-00630-5","Pierre ZinsMichel Dagenais","2019","http://link.springer.com/article/10.1007/s10766-019-00630-5","Article"
"Integration of GPU Computing in a Software Radio Environment","Journal of Signal Processing Systems","","69","1","10.1007/s11265-011-0639-1","Pierre-Henri HorreinChristine HennebertFrédéric Pétrot","2012","http://link.springer.com/article/10.1007/s11265-011-0639-1","Article"
"Evaluations of OpenCL-written tsunami simulation on FPGA and comparison with GPU implementation","The Journal of Supercomputing","","74","6","10.1007/s11227-018-2315-8","Fumiya KonoNaohito NakasatoKensaku HayashiAlexander VazheninStanislav Sedukhin","2018","http://link.springer.com/article/10.1007/s11227-018-2315-8","Article"
"Impact of data layouts on the efficiency of GPU-accelerated IDW interpolation","SpringerPlus","","5","1","10.1186/s40064-016-1731-6","Gang MeiHong Tian","2016","http://link.springer.com/article/10.1186/s40064-016-1731-6","Article"
"Exploiting task and data parallelism for advanced video coding on hybrid CPU + GPU platforms","Journal of Real-Time Image Processing","","11","3","10.1007/s11554-013-0357-y","Svetislav MomcilovicNuno RomaLeonel Sousa","2016","http://link.springer.com/article/10.1007/s11554-013-0357-y","Article"
"An analysis of the graph processing landscape","Journal of Big Data","","8","1","10.1186/s40537-021-00443-9","Miguel E. CoimbraAlexandre P. FranciscoLuís Veiga","2021","http://link.springer.com/article/10.1186/s40537-021-00443-9","Article"
"A survey on parallel clustering algorithms for Big Data","Artificial Intelligence Review","","54","4","10.1007/s10462-020-09918-2","Zineb DafirYasmine LamariSaid Chah Slaoui","2021","http://link.springer.com/article/10.1007/s10462-020-09918-2","Article"
"Two-Dimensional Compact Third-Order Polynomial Reconstructions. Solving Nonconservative Hyperbolic Systems Using GPUs","Journal of Scientific Computing","","48","1 - 3","10.1007/s10915-011-9470-x","José M. GallardoSergio OrtegaMarc de la AsunciónJosé Miguel Mantas","2011","http://link.springer.com/article/10.1007/s10915-011-9470-x","Article"
"A middleware for efficient stream processing in CUDA","Computer Science - Research and Development","","25","1 - 2","10.1007/s00450-010-0107-3","Shinta NakagawaFumihiko InoKenichi Hagihara","2010","http://link.springer.com/article/10.1007/s00450-010-0107-3","Article"
